iter	Passed	Remaining
364	268	467
365	269	466
366	269	465
367	270	464
368	271	463
369	272	463
370	273	463
371	274	462
372	274	461
373	275	460
374	275	459
375	276	458
376	277	457
377	277	457
378	278	456
379	278	455
380	279	454
381	280	454
382	281	453
383	282	452
384	283	452
385	283	451
386	284	450
387	285	450
388	286	449
389	286	448
390	287	447
391	287	446
392	288	445
393	289	444
394	289	443
395	290	443
396	291	442
397	291	441
398	292	440
399	292	438
400	293	438
401	293	437
402	294	436
403	295	435
404	295	434
405	296	433
406	297	433
407	298	432
408	298	431
409	299	431
410	300	429
411	300	429
412	301	429
413	302	428
414	303	427
415	304	426
416	304	426
417	305	425
418	306	424
419	306	423
420	307	422
421	307	421
422	308	420
423	309	419
424	309	419
425	310	418
426	311	417
427	311	416
428	312	415
429	312	414
430	313	413
431	314	412
432	314	412
433	315	411
434	315	410
435	316	409
436	316	408
437	317	407
438	318	407
439	319	406
440	320	406
441	321	405
442	322	404
443	322	404
444	323	404
445	325	404
446	326	403
447	326	402
448	327	401
449	328	400
450	328	400
451	330	400
452	330	399
453	331	398
454	332	398
455	332	397
456	333	396
457	334	395
458	334	394
459	335	393
460	336	392
461	337	392
462	337	391
463	338	390
464	338	389
465	339	389
466	340	388
467	341	387
468	341	386
469	342	386
470	343	385
471	343	384
472	344	383
473	344	382
474	346	382
475	346	381
476	347	381
477	348	380
478	348	379
479	349	378
480	349	377
481	350	376
482	351	375
483	351	375
484	352	374
485	352	373
486	353	372
487	354	371
488	355	371
489	356	370
490	357	370
491	357	369
492	359	369
493	359	368
494	360	367
495	361	367
496	361	366
497	362	365
498	362	364
499	363	363
500	363	362
501	364	361
502	365	361
503	366	360
504	367	359
505	367	358
506	368	357
507	368	357
508	369	356
509	370	355
510	370	354
511	371	354
512	372	353
513	373	352
514	373	351
515	374	351
516	374	350
517	375	349
518	376	349
519	377	348
520	377	347
521	378	347
522	379	346
523	380	345
524	380	344
525	381	343
526	382	343
527	382	342
528	383	341
529	384	341
530	385	340
531	385	339
532	386	338
533	387	338
534	388	337
535	389	336
536	389	335
537	390	335
538	390	334
539	391	333
540	392	332
541	393	332
542	393	331
543	394	330
544	395	329
545	395	329
546	396	328
547	396	327
548	397	326
549	398	325
550	398	324
551	398	323
552	399	323
553	400	322
554	400	321
555	401	320
556	402	319
557	402	319
558	403	318
559	404	317
560	404	316
561	405	315
562	405	315
563	406	314
564	407	313
565	407	312
566	408	311
567	409	311
568	409	310
569	410	309
570	410	308
571	411	307
572	412	307
573	412	306
574	413	305
575	414	305
576	415	304
577	416	304
578	416	303
579	417	302
580	418	301
581	419	301
582	419	300
583	420	299
584	420	298
585	421	297
586	422	296
587	422	296
588	423	295
589	423	294
590	424	293
591	425	293
592	425	292
593	426	291
594	427	290
595	428	290
596	428	289
597	429	289
598	430	288
599	430	2596600	431	286
601	432	2598602	433	2599603	433	2600604	434	2601605	434	2602606	435	2603607	436	2604608	437	2605609	438	2606610	438	2607611	439	2608612	440	278
613	441	277
614	441	276
615	442	275
616	443	275
617	443	2614618	444	2615	464	289
616620	445	2617	465	287
618	466	287
619623	447	2620624	448	2621625	449	2622626	450	2623627	450	2624628	451	2625	471	281
626630	452	2627	472	280
628	473	279
629	474	278
630	476	278
631	476	277
632	477	276
633	477	275
634	479	275
635	479	274
636	480	273
637	481	273
638	482	272
639	482	271
640	483	270
641	484	269
642	484	269
643	485	268
644	486	267
645	486	266
646	487	265
647	488	265
648	488	264
649	489	263
650	489	262
651	490	261
652	491	260
653	491	260
654	492	259
655	493	258
656	493	257
657	494	256
658	494	256
659	495	255
660	495	254
661	496	253
662	497	252
663	497	251
664	498	250
665	498	250
666	499	249
667	500	248
668	501	248
669	502	247
670	502	246
671	503	245
672	503	244
673	504	244
674	505	243
675	505	242
676	506	241
677	506	240
678682	488	2679683	488	2680684	490	2681	510	237
682	511	237
683	512	236
684	513	235
685	513	235
686	514	234
687	516	234
688	516	233
689	517	232
690	517	231
691	518	230
692	519	230
693	519	229
694	520	228
695	521	227
696	521	226
697	522	226
698	523	225
699	523	224
700	524	223
701	525	223
702	526	222
703	526	221
704	527	220
705	528	219
706	528	219
707	530	218
708	530	217
709	531	216
710	531	216
711715	512	2712	533	214
713	534	213
714	534	213
715	535	212
716	536	211
717	536	210
718	537	210
719723	518	1720724	519	1721	539	207
722	540	206
723	540	206
724	541	205
725	542	204
726	542	203
727	543	203
728	544	202
729	544	201
730	545	200
731	545	199
732	546	199
733	547	198
734	548	197
735	549	197
736	550	196
737	551	195
738	552	194
739	552	194
740	553	193
741	553	192
742	554	191
743	555	190
744	556	190
745	556	189
746	557	188
747	558	188
748	558	187
749	559	186
750	560	185
751	560	184
752	561	184
753	562	183
754	562	182
755	563	181
756	564	181
757	564	180
758	566	179
759	567	179
760	568	178
761	568	177
762	569	176
763	570	176
764	570	175
765	571	174
766	571	173
767	572	172
768	573	172
769	573	171
770	574	170
771	574	169
772	576	169
773	576	168
774	577	167
775	578	166
776	579	166
777	579	165
778	580	164
779	581	163
780	582	163
781	583	162
782	584	161
783	584	161
784	586	160
785	586	159
786	587	158
787	588	158
788	589	157
789	590	156
790	590	156
791	591	155
792	591	154
793	593	153
794	594	153
795	594	152
796	595	151
797	596	150
798	597	150
799	598	149
800	598	148
801	599	148
802	600	147
803	601	146
804	602	146
805	603	145
806	604	144
807	604	143
808	605	142
809	606	142
810	607	141
811	607	140
812	608	140
813	609	139
814	610	138
815	611	137
816	611	137
817	612	136
818	612	135
819	613	134
820	614	133
821	615	133
822	616	132
823	616	131
824	617	130
825	617	130
826	618	129
827	619	128
828	619	127
829	619	126
830	621	126
831	621	125
832	622	124
833	623	124
834	624	123
835	624	122
836	625	121
837	626	121
838	626	120
839	627	119
840	628	118
841	629	118
842	629	117
843	630	116
844	631	115
845	632	115
846	632	114
847	633	113
848	634	112
849	634	112
850	635	111
851	636	110
852	636	109
853	637	108
854	638	108
855	639	107
856	639	106
857	641	106
858	641	105
859	642	104
860	643	103
861	644	103
862	644	102
863	645	101
864	645	100
865	646	100
866	647	99
867	648	98
868	648	97
869	649	97
870	650	96
871	650	95
872	651	94
873	651	93
874	652	93
875	653	92
876	653	91
877	654	90
878	655	90
879	656	89
880	657	88
881	659	88
882	659	87
883	660	86
884	661	85
885	662	85
886	663	84
887	663	83
888	665	83
889	665	82
890	666	81
891	667	80
892	668	80
893	669	79
894	669	78
895	670	77
896	670	76
897	671	76
898	672	75
899	672	74
900	673	73
901	673	73
902	674	72
903	675	71
904	676	70
905	676	70
906	677	69
907	677	68
908	678	67
909	678	67
910	679	66
911	680	65
912	681	64
913	681	64
914	682	63
915	683	62
916	683	61
917	684	61
918	685	60
919	685	59
920	686	58
921	687	58
922	687	57
923	688	56
924	689	55
925	689	55
926	690	54
927	690	53
928	691	52
929	692	52
930	693	51
931	693	50
932	694	49
933	695	49
934	696	48
935	696	47
936	697	46
937	698	46
938	699	45
939	699	44
940	700	43
941	701	43
942	701	42
943	702	41
944	703	40
945	704	40
946	704	39
947	705	38
948	705	37
949	706	37
950	707	36
951	708	35
952	708	34
953	709	34
954	709	33
955	710	32
956	711	31
957	711	31
958	712	30
959	713	29
960	713	28
961	714	28
962	715	27
963	715	26
964	716	25
965	717	25
966	717	24
967	718	23
968	719	23
969	720	22
970	720	21
971	721	20
972	722	20
973	723	19
974	724	18
975	725	17
976	725	17
977	726	16
978	726	15
979	727	14
980	728	14
981	728	13
982	729	12
983	729	11
984	730	11
985	730	10
986	731	9
987	731	8
988	731	8
989	732	7
990	732	6
991	732	5
992	733	5
993	733	4
994	734	3
995	734	2
996	734	2
997	735	1
998	736	0
999	736	0
070	22
979	1071	21
980	1071	20
981	1072	19
982	1073	18
983	1073	17
984	1074	16
985	1075	15
986	1076	14
987	1077	13
988	1078	11
989	1078	10
990	1079	9
991	1080	8
992	1080	7
993	1081	6
994	1082	5
995	1082	4
996	1083	3
997	1084	2
998	1085	1
999	1086	0
